Surf 249 Ave ret.time  49.960 ns, #hopping 0 
Surf 250 Ave ret.time  49.960 ns, #hopping 0 
Surf 251 Ave ret.time  49.960 ns, #hopping 0 
Surf 252 Ave ret.time  49.960 ns, #hopping 0 
Surf 253 Ave ret.time   3.138 ns, #hopping 12 
Surf 254 Ave ret.time   7.653 ns, #hopping 5 
Surf 255 Ave ret.time  16.480 ns, #hopping 2 
Surf 256 Ave ret.time  49.960 ns, #hopping 0 
Surf 257 Ave ret.time  49.960 ns, #hopping 0 
Surf 258 Ave ret.time   5.129 ns, #hopping 8 
Surf 259 Ave ret.time  49.960 ns, #hopping 0 
Surf 260 Ave ret.time  49.960 ns, #hopping 0 
Surf 261 Ave ret.time  49.960 ns, #hopping 0 
Surf 262 Ave ret.time  49.960 ns, #hopping 0 
Surf 263 Ave ret.time  16.307 ns, #hopping 2 
Surf 264 Ave ret.time  24.940 ns, #hopping 1 
Surf 265 Ave ret.time  12.310 ns, #hopping 3 
Surf 266 Ave ret.time  49.960 ns, #hopping 0 
Surf 267 Ave ret.time   8.904 ns, #hopping 4 
Surf 268 Ave ret.time  49.960 ns, #hopping 0 
Surf 269 Ave ret.time  49.960 ns, #hopping 0 
Surf 270 Ave ret.time  49.960 ns, #hopping 0 
Surf 271 Ave ret.time  12.240 ns, #hopping 3 
Surf 272 Ave ret.time  49.960 ns, #hopping 0 
Surf 273 Ave ret.time  49.960 ns, #hopping 0 
Surf 274 Ave ret.time  49.960 ns, #hopping 0 
Surf 275 Ave ret.time  49.960 ns, #hopping 0 
Surf 276 Ave ret.time  49.960 ns, #hopping 0 
Surf 277 Ave ret.time  49.960 ns, #hopping 0 
Surf 278 Ave ret.time  49.960 ns, #hopping 0 
Surf 279 Ave ret.time   7.860 ns, #hopping 5 
Surf 280 Ave ret.time  49.960 ns, #hopping 0 
Surf 281 Ave ret.time   6.806 ns, #hopping 6 
Surf 282 Ave ret.time  49.960 ns, #hopping 0 
Surf 283 Ave ret.time  49.960 ns, #hopping 0 
Surf 284 Ave ret.time  49.960 ns, #hopping 0 
Surf 285 Ave ret.time  49.960 ns, #hopping 0 
Surf 286 Ave ret.time  49.960 ns, #hopping 0 
Surf 287 Ave ret.time   9.824 ns, #hopping 4 
Surf 288 Ave ret.time  49.960 ns, #hopping 0 
Surf 289 Ave ret.time  49.960 ns, #hopping 0 
Surf 290 Ave ret.time  49.960 ns, #hopping 0 
Surf 291 Ave ret.time  49.960 ns, #hopping 0 
Surf 292 Ave ret.time  14.960 ns, #hopping 2 
Surf 293 Ave ret.time  49.960 ns, #hopping 0 
Surf 294 Ave ret.time  49.960 ns, #hopping 0 
Surf 295 Ave ret.time  49.960 ns, #hopping 0 
Surf 296 Ave ret.time  49.960 ns, #hopping 0 
Surf 297 Ave ret.time  15.493 ns, #hopping 2 
Surf 298 Ave ret.time  24.920 ns, #hopping 1 
Surf 299 Ave ret.time  16.293 ns, #hopping 2 
Surf 300 Ave ret.time  16.387 ns, #hopping 2 
Surf 301 Ave ret.time  49.960 ns, #hopping 0 
Surf 302 Ave ret.time  49.960 ns, #hopping 0 
Surf 303 Ave ret.time  49.960 ns, #hopping 0 
Surf 304 Ave ret.time  15.893 ns, #hopping 2 
Surf 305 Ave ret.time  49.960 ns, #hopping 0 
Surf 306 Ave ret.time  11.790 ns, #hopping 3 
Surf 307 Ave ret.time   7.860 ns, #hopping 5 
Surf 308 Ave ret.time  49.960 ns, #hopping 0 
Surf 309 Ave ret.time  49.960 ns, #hopping 0 
Surf 310 Ave ret.time  24.480 ns, #hopping 1 
Surf 311 Ave ret.time  49.960 ns, #hopping 0 
Surf 312 Ave ret.time  49.960 ns, #hopping 0 
Surf 313 Ave ret.time  49.960 ns, #hopping 0 
Surf 314 Ave ret.time  49.960 ns, #hopping 0 
Surf 315 Ave ret.time  49.960 ns, #hopping 0 
Surf 316 Ave ret.time  49.960 ns, #hopping 0 
Surf 317 Ave ret.time  49.960 ns, #hopping 0 
Surf 318 Ave ret.time  49.960 ns, #hopping 0 
Surf 319 Ave ret.time  49.960 ns, #hopping 0 
Surf 320 Ave ret.time  49.960 ns, #hopping 0 
Surf 321 Ave ret.time  49.960 ns, #hopping 0 
Surf 322 Ave ret.time  49.960 ns, #hopping 0 
Surf 323 Ave ret.time  49.960 ns, #hopping 0 
Surf 324 Ave ret.time  24.920 ns, #hopping 1 
Surf 325 Ave ret.time  49.960 ns, #hopping 0 
Surf 326 Ave ret.time  49.960 ns, #hopping 0 
Surf 327 Ave ret.time  49.960 ns, #hopping 0 
Surf 328 Ave ret.time  49.960 ns, #hopping 0 
Surf 329 Ave ret.time  49.960 ns, #hopping 0 
Surf 330 Ave ret.time  23.580 ns, #hopping 1 
Surf 331 Ave ret.time  49.960 ns, #hopping 0 
Surf 332 Ave ret.time  49.960 ns, #hopping 0 
Surf 333 Ave ret.time  49.960 ns, #hopping 0 
Surf 334 Ave ret.time  49.960 ns, #hopping 0 
Surf 335 Ave ret.time  49.960 ns, #hopping 0 
Surf 336 Ave ret.time  49.960 ns, #hopping 0 
Surf 337 Ave ret.time  16.253 ns, #hopping 2 
Surf 338 Ave ret.time  49.960 ns, #hopping 0 
Surf 339 Ave ret.time  24.880 ns, #hopping 1 
Surf 340 Ave ret.time  49.960 ns, #hopping 0 
Surf 341 Ave ret.time  24.900 ns, #hopping 1 
Surf 342 Ave ret.time   4.724 ns, #hopping 9 
Surf 343 Ave ret.time  49.960 ns, #hopping 0 
Surf 344 Ave ret.time  24.780 ns, #hopping 1 
Surf 345 Ave ret.time  24.280 ns, #hopping 1 
Surf 346 Ave ret.time   7.847 ns, #hopping 5 
Surf 347 Ave ret.time  49.960 ns, #hopping 0 
Surf 348 Ave ret.time  49.960 ns, #hopping 0 
Surf 349 Ave ret.time  49.960 ns, #hopping 0 
